,topic,subtopic,video,video_length_[mins],video_length_[hrs]
678,08 Pathology 51h57m,07 Anemias-Dr. Barone,03 Microcytic Anemias.mp4,21.29,0.35
679,08 Pathology 51h57m,07 Anemias-Dr. Barone,04 Normocytic Anemias.mp4,29.5,0.49
680,08 Pathology 51h57m,07 Anemias-Dr. Barone,05 Macrocytic Anemias.mp4,8.03,0.13
681,08 Pathology 51h57m,08 Cardiopulmonary,01 Vascular Pathology - Vasculitis.mp4,15.12,0.25
682,08 Pathology 51h57m,08 Cardiopulmonary,02 Vascular Pathology - Raynaud Disease versus Phenomenon.mp4,1.15,0.02
683,08 Pathology 51h57m,08 Cardiopulmonary,03 Vascular Pathology - Arteriosclerosis.mp4,10.73,0.18
684,08 Pathology 51h57m,08 Cardiopulmonary,04 Vascular Pathology - Hypertension (HTN).mp4,4.51,0.08
685,08 Pathology 51h57m,08 Cardiopulmonary,05 Vascular Pathology - Aneurysms and Arteriovenous Fistulas.mp4,11.18,0.19
686,08 Pathology 51h57m,08 Cardiopulmonary,06 Vascular Pathology - Venous Disease.mp4,3.75,0.06
687,08 Pathology 51h57m,08 Cardiopulmonary,07 Vascular Pathology - Vascular Neoplasms.mp4,6.2,0.1
688,08 Pathology 51h57m,08 Cardiopulmonary,08 Cardiac Pathology - Ischemic Heart Disease.mp4,19.2,0.32
689,08 Pathology 51h57m,08 Cardiopulmonary,09 Cardiac Pathology - Congestive Heart Failure.mp4,7.74,0.13
690,08 Pathology 51h57m,08 Cardiopulmonary,10 Cardiac Pathology - Valvular Heart Disease.mp4,13.4,0.22
691,08 Pathology 51h57m,08 Cardiopulmonary,11 Cardiac Pathology - Congenital Heart Disease.mp4,15.15,0.25
692,08 Pathology 51h57m,08 Cardiopulmonary,12 Cardiac Pathology - Primary Cardiomyopathies (Diagnosis of Exclusion).mp4,5.69,0.09
693,08 Pathology 51h57m,08 Cardiopulmonary,13 Cardiac Pathology - Carcinoid Heart Disease.mp4,1.3,0.02
694,08 Pathology 51h57m,08 Cardiopulmonary,14 Cardiac Pathology - Cardiac Tumors.mp4,1.67,0.03
695,08 Pathology 51h57m,08 Cardiopulmonary,15 Respiratory Pathology - Atelectasis.mp4,2.13,0.04
696,08 Pathology 51h57m,08 Cardiopulmonary,16 Respiratory Pathology - Pulmonary Infections.mp4,14.01,0.23
697,08 Pathology 51h57m,08 Cardiopulmonary,17 Respiratory Pathology - Sarcoidosis.mp4,3.19,0.05
698,08 Pathology 51h57m,08 Cardiopulmonary,18 Respiratory Pathology - Obstructive Versus Restrictive Lung Disease.mp4,2.33,0.04
699,08 Pathology 51h57m,08 Cardiopulmonary,19 Respiratory Pathology - Obstructive Pulmonary Disease.mp4,13.87,0.23
700,08 Pathology 51h57m,08 Cardiopulmonary,20 Respiratory Pathology - Infiltrative Restrictive Lung Diseases.mp4,13.89,0.23
701,08 Pathology 51h57m,08 Cardiopulmonary,21 Respiratory Pathology - Vascular Disorders.mp4,3.54,0.06
702,08 Pathology 51h57m,08 Cardiopulmonary,22 Respiratory Pathology - Pulmonary Neoplasia.mp4,15.63,0.26
703,08 Pathology 51h57m,08 Cardiopulmonary,23 Respiratory Pathology - Diseases of the Pleural Cavity.mp4,5.03,0.08
704,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,01 Vasculitis.mp4,18.86,0.31
705,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,02 Raynaud Disease Versus Phenomenon.mp4,1.92,0.03
706,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,03 Arteriosclerosis.mp4,7.67,0.13
707,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,04 Hypertension.mp4,6.86,0.11
708,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,05 Aneurysms and Arteriovenous Fistulas.mp4,6.98,0.12
709,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,06 Venous Disease.mp4,2.5,0.04
710,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,07 Vascular Neoplasms.mp4,4.23,0.07
711,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,08 Ischemic Heart Disease.mp4,17.79,0.3
712,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,09 Congestive Heart Failure.mp4,5.16,0.09
713,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,10 Valvular Heart Disease.mp4,14.89,0.25
714,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,11 Congenital Heart Disease.mp4,12.42,0.21
715,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,12 Cardiomyopathies.mp4,4.79,0.08
716,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,13 Carcinoid Heart Disease.mp4,1,0.02
717,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,14 Cardiac Tumors.mp4,1.82,0.03
718,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,15 Atelectasis.mp4,1.7,0.03
719,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,16 Pulmonary Infections.mp4,15.35,0.26
720,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,17 Sarcoidosis.mp4,3.35,0.06
721,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,18 Obstructive Versus Restrictive Lung Disease.mp4,3.15,0.05
722,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,19 Chronic Obstructive Pulmonary Disease.mp4,13.58,0.23
723,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,20 Respiratory Distress Syndrome.mp4,7.04,0.12
724,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,21 Vascular Disorders.mp4,3.37,0.06
725,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,22 Pulmonary Neoplasia.mp4,17.69,0.29
726,08 Pathology 51h57m,08 Cardiopulmonary-Dr. Barone,23 Diseases of the Pleural Cavity.mp4,4.04,0.07
727,08 Pathology 51h57m,09 Renal,01 Renal Pathology - Congenital Anomolies of the Kidney.mp4,2.91,0.05
728,08 Pathology 51h57m,09 Renal,02 Renal Pathology - Cystic Disease.mp4,4.84,0.08
729,08 Pathology 51h57m,09 Renal,03 Renal Pathology - Glomerular Diseases.mp4,5.8,0.1
730,08 Pathology 51h57m,09 Renal,04 Renal Pathology - Primary Glomerulopathies (Nephritic).mp4,14.05,0.23
731,08 Pathology 51h57m,09 Renal,05 Renal Pathology - Primary Glomerulopathies (Nephrotic).mp4,8.49,0.14
732,08 Pathology 51h57m,09 Renal,06 Renal Pathology - Secondary Glomerulonephritis.mp4,1.72,0.03
733,08 Pathology 51h57m,09 Renal,07 Renal Pathology - Chronic Glomerulonephritis.mp4,1.52,0.03
734,08 Pathology 51h57m,09 Renal,08 Renal Pathology - Diseases of the Tubules and Interstitium.mp4,7.03,0.12
735,08 Pathology 51h57m,09 Renal,09 Renal Pathology - Urolithiasis.mp4,3.67,0.06
736,08 Pathology 51h57m,09 Renal,10 Renal Pathology - Tumors of the Kidney.mp4,8.43,0.14
737,08 Pathology 51h57m,09 Renal,11 Renal Pathology - Chronic Renal Failure.mp4,0.67,0.01
738,08 Pathology 51h57m,09 Renal,12 Renal Pathology - Vascular Disorders of the Kidney.mp4,4.09,0.07
739,08 Pathology 51h57m,09 Renal,13 Renal Pathology - Obstructive Disorders of the Urinary System.mp4,0.52,0.01
740,08 Pathology 51h57m,09 Renal,14 Renal Pathology - Ureteral Disorders.mp4,1.58,0.03
741,08 Pathology 51h57m,09 Renal,15 Renal Pathology - Urinary Bladder Pathology.mp4,4.98,0.08
742,08 Pathology 51h57m,09 Renal-Dr. Barone,01 Congenital Anomalies of the Kidney.mp4,3.96,0.07
743,08 Pathology 51h57m,09 Renal-Dr. Barone,02 Cystic Disease.mp4,4.06,0.07
744,08 Pathology 51h57m,09 Renal-Dr. Barone,03 Glomerular Diseases.mp4,2.51,0.04
745,08 Pathology 51h57m,09 Renal-Dr. Barone,04 Primary Glomerulopathies (Nephritic).mp4,18.42,0.31
746,08 Pathology 51h57m,09 Renal-Dr. Barone,05 Primary Glomerulopathies (Nephrotic).mp4,8.98,0.15
747,08 Pathology 51h57m,09 Renal-Dr. Barone,06 Chronic Glomerulonephritis.mp4,1.35,0.02
748,08 Pathology 51h57m,09 Renal-Dr. Barone,07 Diseases of the Tubules and Interstitium.mp4,5.48,0.09
749,08 Pathology 51h57m,09 Renal-Dr. Barone,08 Urolithiasis.mp4,3.26,0.05
750,08 Pathology 51h57m,09 Renal-Dr. Barone,09 Tumors of the Kidney.mp4,9.07,0.15
751,08 Pathology 51h57m,09 Renal-Dr. Barone,10 Bladder Pathology.mp4,2.93,0.05
752,08 Pathology 51h57m,10 Gastrointestinal,01 Gastrointestinal Tract Pathology - Esophagus.mp4,12.81,0.21
753,08 Pathology 51h57m,10 Gastrointestinal,02 Gastrointestinal Tract Pathology - Stomach.mp4,20.77,0.35
754,08 Pathology 51h57m,10 Gastrointestinal,03 Gastrointestinal Tract Pathology - Small and Large Intestines.mp4,44.31,0.74
755,08 Pathology 51h57m,10 Gastrointestinal,04 Pancreatic Pathology - Inflammation of the Pancreas.mp4,6.59,0.11
756,08 Pathology 51h57m,10 Gastrointestinal,05 Pancreatic Pathology - Diabetes Mellitus (Pancreatic Pathology).mp4,9.69,0.16
757,08 Pathology 51h57m,10 Gastrointestinal,06 Pancreatic Pathology - Pancreatic Tumors.mp4,5.93,0.1
758,08 Pathology 51h57m,10 Gastrointestinal,07 Gallbladder and Biliary Tract Pathology - Gallstones (Cholelithiasis).mp4,4.62,0.08
759,08 Pathology 51h57m,10 Gastrointestinal,08 Gallbladder and Biliary Tract Pathology - Inflammatory Conditions.mp4,3.15,0.05
760,08 Pathology 51h57m,10 Gastrointestinal,09 Gallbladder and Biliary Tract Pathology - Miscellaneous Conditions.mp4,1.3,0.02
761,08 Pathology 51h57m,10 Gastrointestinal,10 Gallbladder and Biliary Tract Pathology - Biliary Tract Cancer.mp4,2.33,0.04
762,08 Pathology 51h57m,10 Gastrointestinal,11 Liver Pathology- Jaundice.mp4,9.54,0.16
763,08 Pathology 51h57m,10 Gastrointestinal,12 Liver Pathology- Cirrhosis.mp4,4.77,0.08
764,08 Pathology 51h57m,10 Gastrointestinal,13 Liver Pathology- Viral Hepatitis (Liver Pathology).mp4,8.27,0.14
765,08 Pathology 51h57m,10 Gastrointestinal,14 Liver Pathology- Amebic Liver Abscesses.mp4,1.16,0.02
766,08 Pathology 51h57m,10 Gastrointestinal,15 Liver Pathology- Alcoholic Liver Disease.mp4,5.12,0.09
767,08 Pathology 51h57m,10 Gastrointestinal,16 Liver Pathology- Metabolic Liver Disease.mp4,10.43,0.17
768,08 Pathology 51h57m,10 Gastrointestinal,17 Liver Pathology - Hemodynamic Liver Diseases.mp4,3.19,0.05
769,08 Pathology 51h57m,10 Gastrointestinal,18 Liver Pathology- Liver Tumors.mp4,4.09,0.07
770,08 Pathology 51h57m,10 Gastrointestinal-Barone,01 Esophagus.mp4,13.46,0.22
771,08 Pathology 51h57m,10 Gastrointestinal-Barone,02 Stomach.mp4,20.48,0.34
772,08 Pathology 51h57m,10 Gastrointestinal-Barone,03 Small and Large Intestines 1.mp4,10.56,0.18
773,08 Pathology 51h57m,10 Gastrointestinal-Barone,04 Small and Large Intestines 2.mp4,19.15,0.32
774,08 Pathology 51h57m,10 Gastrointestinal-Barone,05 Small and Large Intestines 3.mp4,19.16,0.32
775,08 Pathology 51h57m,10 Gastrointestinal-Barone,06 Inflammation of the Pancreas.mp4,6.36,0.11
776,08 Pathology 51h57m,10 Gastrointestinal-Barone,07 Diabetes Mellitus.mp4,10.53,0.18
777,08 Pathology 51h57m,10 Gastrointestinal-Barone,08 Pancreatic Tumors.mp4,8.32,0.14
778,08 Pathology 51h57m,10 Gastrointestinal-Barone,09 Gallstones_Cholelithiasis.mp4,3.79,0.06
779,08 Pathology 51h57m,10 Gastrointestinal-Barone,10 Inflammatory Conditions.mp4,4.35,0.07
780,08 Pathology 51h57m,10 Gastrointestinal-Barone,11 Miscellaneous Conditions.mp4,2.01,0.03
781,08 Pathology 51h57m,10 Gastrointestinal-Barone,12 Biliary Tract Cancer.mp4,3.58,0.06
782,08 Pathology 51h57m,10 Gastrointestinal-Barone,13 Jaundice.mp4,12.55,0.21
783,08 Pathology 51h57m,10 Gastrointestinal-Barone,14 Cirrhosis.mp4,5.46,0.09
784,08 Pathology 51h57m,10 Gastrointestinal-Barone,15 Viral Hepatitis.mp4,10.86,0.18
785,08 Pathology 51h57m,10 Gastrointestinal-Barone,16 Amebic Liver Abscesses.mp4,1.71,0.03
786,08 Pathology 51h57m,10 Gastrointestinal-Barone,17 Alcoholic Liver Disease.mp4,4.01,0.07
787,08 Pathology 51h57m,10 Gastrointestinal-Barone,18 Metabolic Liver Diseases.mp4,12.73,0.21
788,08 Pathology 51h57m,10 Gastrointestinal-Barone,19 Hemodynamic Liver Disease.mp4,1.37,0.02
789,08 Pathology 51h57m,10 Gastrointestinal-Barone,20 Liver Tumors.mp4,6.73,0.11
790,08 Pathology 51h57m,11 CNS Pathology,01 Central Nervous System Pathology - Infections.mp4,16.28,0.27
791,08 Pathology 51h57m,11 CNS Pathology,02 Central Nervous System Pathology - Cerebrovascular Disease.mp4,11.66,0.19
792,08 Pathology 51h57m,11 CNS Pathology,03 Central Nervous System Pathology - CNS Trauma.mp4,5.94,0.1
793,08 Pathology 51h57m,11 CNS Pathology,04 Central Nervous System Pathology - Developmental Abnormalities.mp4,5.59,0.09
794,08 Pathology 51h57m,11 CNS Pathology,05 Central Nervous System Pathology - Demyelinating Disorders.mp4,5.72,0.1
795,08 Pathology 51h57m,11 CNS Pathology,06 Central Nervous System Pathology - Degenerative and Dementing Disorders.mp4,20.11,0.34
796,08 Pathology 51h57m,11 CNS Pathology,07 Central Nervous System Pathology - CNS Tumors.mp4,13.18,0.22
797,08 Pathology 51h57m,11 CNS Pathology-Dr. Barone,01 Infections.mp4,23.53,0.39
798,08 Pathology 51h57m,11 CNS Pathology-Dr. Barone,02 Cerebrovascular Disease.mp4,15.11,0.25
799,08 Pathology 51h57m,11 CNS Pathology-Dr. Barone,03 CNS Trauma.mp4,10.95,0.18
800,08 Pathology 51h57m,11 CNS Pathology-Dr. Barone,04 Developmental Abnormalities.mp4,3.92,0.07
801,08 Pathology 51h57m,11 CNS Pathology-Dr. Barone,05 Demyelinating Disorders.mp4,6.49,0.11
802,08 Pathology 51h57m,11 CNS Pathology-Dr. Barone,06 Degenerative and Dementing Disorders 1.mp4,2.91,0.05
803,08 Pathology 51h57m,11 CNS Pathology-Dr. Barone,07 Degenerative and Dementing Disorders 2.mp4,15.66,0.26
804,08 Pathology 51h57m,11 CNS Pathology-Dr. Barone,08 CNS Tumors.mp4,19.75,0.33
805,08 Pathology 51h57m,12 Hematopoetic,01 White Blood Cell Disorders & Lymphoid and Myeloid Neoplasms - Reactive Changes in White Blood Cells.mp4,10.33,0.17
806,08 Pathology 51h57m,12 Hematopoetic,02 White Blood Cell Disorders & Lymphoid and Myeloid Neoplasms - Hematopoetic Pathology - Lymphoid Neoplasms.mp4,2.9,0.05
807,08 Pathology 51h57m,12 Hematopoetic,03 White Blood Cell Disorders & Lymphoid and Myeloid Neoplasms - Precursor B- and T-Cell Neoplasms.mp4,3.91,0.07
808,08 Pathology 51h57m,12 Hematopoetic,04 White Blood Cell Disorders & Lymphoid and Myeloid Neoplasms - Peripheral B-Cell Neoplasms.mp4,17.52,0.29
809,08 Pathology 51h57m,12 Hematopoetic,05 White Blood Cell Disorders & Lymphoid and Myeloid Neoplasms - Peripheral T-Cell and Natural Killer Cell Neoplasms.mp4,2.16,0.04
810,08 Pathology 51h57m,12 Hematopoetic,06 White Blood Cell Disorders & Lymphoid and Myeloid Neoplasms - Lymphoma.mp4,5.08,0.08
811,08 Pathology 51h57m,12 Hematopoetic,07  White Blood Cell Disorders & Lymphoid and Myeloid Neoplasms - Myeloid Neoplasms.mp4,13.14,0.22
812,08 Pathology 51h57m,12 Hematopoetic,08 White Blood Cell Disorders & Lymphoid and Myeloid Neoplasms - Spleen Disorders.mp4,1.68,0.03
813,08 Pathology 51h57m,12 Hematopoetic,09 White Blood Cell Disorders & Lymphoid and Myeloid Neoplasms - Miscellaneous Diseases and Diseases of the Spleen.mp4,1.93,0.03
814,08 Pathology 51h57m,12 Hematopoetic-Dr. Barone,01 Reactive Proliferations of White Blood Cells.mp4,11.5,0.19
815,08 Pathology 51h57m,12 Hematopoetic-Dr. Barone,02 Lymphoid Neoplasms.mp4,5.81,0.1
816,08 Pathology 51h57m,12 Hematopoetic-Dr. Barone,03 Precursor B- and T-Cell Neoplasms.mp4,6.72,0.11
817,08 Pathology 51h57m,12 Hematopoetic-Dr. Barone,04 Peripheral B-Cell Neoplasms.mp4,30.49,0.51
818,08 Pathology 51h57m,12 Hematopoetic-Dr. Barone,05 Peripheral T-Cell and Natural Killer Cell Neoplasms.mp4,3.38,0.06
819,08 Pathology 51h57m,12 Hematopoetic-Dr. Barone,06 Hodgkin Disease.mp4,8.48,0.14
820,08 Pathology 51h57m,12 Hematopoetic-Dr. Barone,07 Acute Myelogenous Leukemia.mp4,9.7,0.16
821,08 Pathology 51h57m,12 Hematopoetic-Dr. Barone,08 Myelodysplasia.mp4,1.54,0.03
822,08 Pathology 51h57m,12 Hematopoetic-Dr. Barone,09 Myeloproliferative Syndromes.mp4,15.98,0.27
823,08 Pathology 51h57m,13 Female & Male,01 Female Genital Pathology - Vulva.mp4,4.54,0.08
824,08 Pathology 51h57m,13 Female & Male,02 Female Genital Pathology - Vagina (Female Genital Pathology).mp4,2.91,0.05
825,08 Pathology 51h57m,13 Female & Male,03 Female Genital Pathology - Cervix.mp4,7.38,0.12
826,08 Pathology 51h57m,13 Female & Male,04 Female Genital Pathology - Uterus (Female Genital Pathology).mp4,7.33,0.12
827,08 Pathology 51h57m,13 Female & Male,05 Female Genital Pathology - Ovary (Female Genital Pathology).mp4,10.39,0.17
828,08 Pathology 51h57m,13 Female & Male,06 Female Genital Pathology - Gestational Trophoblastic Disease and Placental Disease.mp4,8.11,0.14
829,08 Pathology 51h57m,13 Female & Male,07 Breast Pathology - Introduction.mp4,1.33,0.02
830,08 Pathology 51h57m,13 Female & Male,08 Breast Pathology - Mastitis.mp4,0.92,0.02
831,08 Pathology 51h57m,13 Female & Male,09 Breast Pathology - Fibrocystic Changes.mp4,3.07,0.05
832,08 Pathology 51h57m,13 Female & Male,10 Breast Pathology - Benign Neoplasms.mp4,2.22,0.04
833,08 Pathology 51h57m,13 Female & Male,11 Breast Pathology - Malignant Neoplasms.mp4,9.49,0.16
834,08 Pathology 51h57m,13 Female & Male,12 Breast Pathology - Other Breast Conditions.mp4,3,0.05
835,08 Pathology 51h57m,13 Female & Male,13 Male Pathology - Penis (Male Pathology).mp4,3.85,0.06
836,08 Pathology 51h57m,13 Female & Male,14 Male Pathology - Testes.mp4,3.24,0.05
837,08 Pathology 51h57m,13 Female & Male,15 Male Pathology - Testicular Cancer.mp4,9.3,0.16
838,08 Pathology 51h57m,13 Female & Male,16 Male Pathology - Prostate.mp4,7.24,0.12
839,08 Pathology 51h57m,13 Female And Male-Dr. Barone,01 Vulva.mp4,2.79,0.05
840,08 Pathology 51h57m,13 Female And Male-Dr. Barone,02 Vagina.mp4,3.02,0.05
841,08 Pathology 51h57m,13 Female And Male-Dr. Barone,03 Cervix.mp4,11.18,0.19
842,08 Pathology 51h57m,13 Female And Male-Dr. Barone,04 Uterus.mp4,10.75,0.18
843,08 Pathology 51h57m,13 Female And Male-Dr. Barone,05 Ovary.mp4,15.55,0.26
844,08 Pathology 51h57m,13 Female And Male-Dr. Barone,06 Gestational Trophoblastic Disease.mp4,7.82,0.13
845,08 Pathology 51h57m,13 Female And Male-Dr. Barone,07 Mastitis.mp4,1.31,0.02
846,08 Pathology 51h57m,13 Female And Male-Dr. Barone,08 Fibrocystic Changes.mp4,5.13,0.09
847,08 Pathology 51h57m,13 Female And Male-Dr. Barone,09 Benign Neoplasms.mp4,2.96,0.05
848,08 Pathology 51h57m,13 Female And Male-Dr. Barone,10 Malignant Neoplasms.mp4,12.79,0.21
849,08 Pathology 51h57m,13 Female And Male-Dr. Barone,11 Other Malignancies.mp4,2.54,0.04
850,08 Pathology 51h57m,13 Female And Male-Dr. Barone,12 Penis.mp4,3.02,0.05
851,08 Pathology 51h57m,13 Female And Male-Dr. Barone,13 Testes.mp4,3.1,0.05
852,08 Pathology 51h57m,13 Female And Male-Dr. Barone,14 Testicular Cancer.mp4,13.8,0.23
853,08 Pathology 51h57m,13 Female And Male-Dr. Barone,15 Prostate.mp4,18.01,0.3
854,08 Pathology 51h57m,14 Endocrine,01 Endocrine Pathology - Thyroid Gland.mp4,1.23,0.02
855,08 Pathology 51h57m,14 Endocrine,02 Endocrine Pathology - Hyperthyroidism.mp4,3.26,0.05
856,08 Pathology 51h57m,14 Endocrine,03 Endocrine Pathology - Hypothyroidism.mp4,2.11,0.04
857,08 Pathology 51h57m,14 Endocrine,04 Endocrine Pathology - Thyroiditis.mp4,4.1,0.07
858,08 Pathology 51h57m,14 Endocrine,05 Endocrine Pathology - Thyroid Neoplasia.mp4,5.98,0.1
859,08 Pathology 51h57m,14 Endocrine,06 Endocrine Pathology - Parathyroid Glands.mp4,4.16,0.07
860,08 Pathology 51h57m,14 Endocrine,"07 Endocrine Pathology - Pituitary Gland, Hypothalamus, and Pineal Gland.mp4",7.56,0.13
861,08 Pathology 51h57m,14 Endocrine,08 Endocrine Pathology - Adrenal Gland.mp4,8.5,0.14
862,08 Pathology 51h57m,14 Endocrine,09 Endocrine Pathology - Multiple Endocrine Neoplasia (MEN) Syndromes.mp4,2.31,0.04
863,08 Pathology 51h57m,14 Endocrine-Dr. Barone,01 Thyroid Gland.mp4,3.2,0.05
864,08 Pathology 51h57m,14 Endocrine-Dr. Barone,02 Hyperthyroidism.mp4,4.47,0.07
865,08 Pathology 51h57m,14 Endocrine-Dr. Barone,03 Hypothyroidism.mp4,3.86,0.06
866,08 Pathology 51h57m,14 Endocrine-Dr. Barone,04 Thyroiditis.mp4,6.5,0.11
867,08 Pathology 51h57m,14 Endocrine-Dr. Barone,05 Thyroiditis.mp4,7.91,0.13
868,08 Pathology 51h57m,14 Endocrine-Dr. Barone,06 Parathyroid Glands.mp4,8.13,0.14
869,08 Pathology 51h57m,14 Endocrine-Dr. Barone,07 Pituitary Glands.mp4,9.47,0.16
870,08 Pathology 51h57m,14 Endocrine-Dr. Barone,08 Adrenal Glands.mp4,19.93,0.33
871,08 Pathology 51h57m,14 Endocrine-Dr. Barone,09 Multiple Endocrine Neoplasia Syndrome.mp4,3.13,0.05
872,08 Pathology 51h57m,15 Musculoskeletal,01 Bone Pathology - Normal Bone.mp4,3.94,0.07
873,08 Pathology 51h57m,15 Musculoskeletal,02 Bone Pathology - Hereditary Bone Disorders.mp4,6.33,0.11
874,08 Pathology 51h57m,15 Musculoskeletal,03 Bone Pathology - Paget Disease (Osteitis Deformans).mp4,4.04,0.07
875,08 Pathology 51h57m,15 Musculoskeletal,04 Bone Pathology - Osteoporosis.mp4,3.98,0.07
876,08 Pathology 51h57m,15 Musculoskeletal,05 Bone Pathology - Osteomalacia and Rickets.mp4,2.69,0.04
877,08 Pathology 51h57m,15 Musculoskeletal,06 Bone Pathology - Osteomyelitis.mp4,4.23,0.07
878,08 Pathology 51h57m,15 Musculoskeletal,07 Bone Pathology - Miscellaneous Bone Disorders.mp4,5.59,0.09
879,08 Pathology 51h57m,15 Musculoskeletal,08 Bone Pathology - Benign Tumors of Bone.mp4,6.51,0.11
880,08 Pathology 51h57m,15 Musculoskeletal,09 Bone Pathology - Malignant Tumors of Bone.mp4,6.92,0.12
881,08 Pathology 51h57m,15 Musculoskeletal,10 Joint Pathology - Osteoarthritis (Degenerative Joint Disease).mp4,4.34,0.07
882,08 Pathology 51h57m,15 Musculoskeletal,11 Joint Pathology - Rheumatoid Arthritis.mp4,5.09,0.08
883,08 Pathology 51h57m,15 Musculoskeletal,12 Joint Pathology - Seronegative Spondyloarthropathies.mp4,1.9,0.03
884,08 Pathology 51h57m,15 Musculoskeletal,13 Joint Pathology - Arthritis Related to Crystal Deposition.mp4,4.26,0.07
885,08 Pathology 51h57m,15 Musculoskeletal,14 Joint Pathology - Infectious Arthritis.mp4,2.13,0.04
886,08 Pathology 51h57m,15 Musculoskeletal,15 Joint Pathology - Neuropathic Arthropathy (Charcot Joint).mp4,0.95,0.02
887,08 Pathology 51h57m,15 Musculoskeletal,16 Skeletal Muscle and Peripheral Nerve Pathology - Skeletal Muscle and Peripheral Nerve Pathology.mp4,1.07,0.02
888,08 Pathology 51h57m,15 Musculoskeletal,17 Skeletal Muscle and Peripheral Nerve Pathology - Inflammatory Myopathies.mp4,2.14,0.04
889,08 Pathology 51h57m,15 Musculoskeletal,18 Skeletal Muscle and Peripheral Nerve Pathology - Myasthenic Syndromes.mp4,2.35,0.04
890,08 Pathology 51h57m,15 Musculoskeletal,19 Skeletal Muscle and Peripheral Nerve Pathology - Muscular Dystrophy.mp4,2.79,0.05
891,08 Pathology 51h57m,15 Musculoskeletal,20 Skeletal Muscle and Peripheral Nerve Pathology - Inflammatory Neuropathy.mp4,1.19,0.02
892,08 Pathology 51h57m,15 Musculoskeletal,21 Skeletal Muscle and Peripheral Nerve Pathology - Soft Tissue Tumors and Tumor-Like Conditions.mp4,6.04,0.1
893,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,01 Normal Bone.mp4,5.02,0.08
894,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,02 Hereditary Bone Disorders.mp4,9.06,0.15
895,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,03 Paget Disease.mp4,5.39,0.09
896,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,04 Osteoporosis.mp4,4.65,0.08
897,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,05 Osteomalacia and Rickets.mp4,3.41,0.06
898,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,06 Osteomyelitis.mp4,4.44,0.07
899,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,07 Miscellaneous Bone Disorders.mp4,5.91,0.1
900,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,08 Benign Tumors of the Bone.mp4,5.77,0.1
901,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,09 Malignant Tumors of the Bone.mp4,17.44,0.29
902,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,10 Osteoarthritis.mp4,6.33,0.11
903,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,11 Rheumatoid Arthritis.mp4,7.56,0.13
904,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,12 Seronegative Spondyloarthropathies.mp4,3.98,0.07
905,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,13 Arthritis Related to Crystal Deposition.mp4,7.06,0.12
906,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,14 Infectious Arthritis.mp4,3.66,0.06
907,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,15 Skeletal Muscle.mp4,2.25,0.04
908,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,16 Inflammatory Myopathies.mp4,4.14,0.07
909,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,17 Myasthenic Syndromes.mp4,4.3,0.07
910,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,18 Muscular Dystrophy.mp4,4.62,0.08
911,08 Pathology 51h57m,15 Musculoskeletal-Dr. Barone,19 Inflammatory Neuropathy.mp4,1.89,0.03
